"","NAME","LOCATION","YEAR","TOTALAREA"
"1","Sarath City Capital Mall
","Hyderabad
","2018
","2,700,000 sq ft (250,000 m2)
"
"2","Lulu Mall Lucknow
","Lucknow
","2022
","2,200,000 sq ft (200,000 m2)
"
"3","Lulu Mall Thiruvananthapuram
","Thiruvananthapuram
","2021
","2,000,000 sq ft (190,000 m2)
"
"4","DLF Mall of India
","Noida
","2016
","2,000,000 sq ft (190,000 m2)
"
"5","Ambience Mall Gurgaon
","Gurgaon
","2007
","1,800,000 sq ft (170,000 m2)
"
"6","DB City Mall, Bhopal
","Bhopal
","2010
","1,300,000 sq ft (120,000 m2)
"
"7","World Trade Park, Jaipur
","Jaipur
","2012
","1,300,000 sq ft (120,000 m2)
"
"8","Hilite Mall, Calicut
","Kozhikode
","2015
","1,260,000 sq ft (117,000 m2)
"
"9","Amanora Mall, Magarpatta, Hadapsar
","Pune
","2008
","1,200,000 sq ft (110,000 m2)
"
"10","Ambience Mall, Vasant Kunj
","Delhi
","2008
","1,200,000 sq ft (110,000 m2)
"
"11","R City Mall
","Mumbai
","2009
","1,200,000 sq ft (110,000 m2)
"
"12","Phoenix Marketcity (Pune)
","Pune
","2011
","1,190,000 sq ft (111,000 m2)
"
"13","Elante Mall
","Chandigarh
","2013
","1,150,000 sq ft (107,000 m2)
"
"14","Phoenix Marketcity (Mumbai)
","Mumbai
","2011
","1,140,000 sq ft (106,000 m2)
"
"15","Magneto the mall
","Raipur
","2010
","1,035,000 sq ft (96,200 m2)
"
"16","The Great India Place
","Noida
","2007
","1,000,000 sq ft (93,000 m2)
"
"17","Mantri Square
","Bengaluru
","2010
","1,000,000 sq ft (93,000 m2)
"
"18","Phoenix Citadel
","Indore
","2022
","1,000,000 sq ft (93,000 m2)
"
"19","Phoenix Marketcity (Bangalore)
","Bengaluru
","2011
","1,000,000 sq ft (93,000 m2)
"
"20","South City Mall
","Kolkata
","2008
","1,000,000 sq ft (93,000 m2)
"
"21","VR Punjab (Formerly North Country Mall)
","Mohali
","2012
","1,000,000 sq ft (93,000 m2)
"
"22","VR Ambarsar (Formerly Trilium Mall)
","Amritsar
","2013
","1,000,000 sq ft (93,000 m^2)
"
"23","Phoenix Marketcity (Chennai)
","Chennai
","2013
","1,000,000 sq ft (93,000 m2)
"
"24","Viviana Mall
","Thane
","2013
","1,000,000 sq ft (93,000 m2)
"
"25","VR Chennai
","Chennai
","2018
","1,000,000 sq ft (93,000 m2)
"
"26","Esplanade One
","Bhubaneswar
","2018
","950,000 sq ft (88,000 m2)
"
"27","The Grand Venice Mall
","Greater Noida
","2015
","947,000 sq ft (88,000 m2)
"
"28","City Centre, Nashik
","Nashik
","2009
","900,000 sq ft (84,000 m2)
"
"29","Z Square Mall
","Kanpur
","2010
","900,000 sq ft (84,000 m2)
"
"30","Express Avenue
","Chennai
","2010
","900,000 sq ft (84,000 m2)
"
"31","Phoenix Palassio
","Lucknow
","2020
","900,000 sq ft (84,000 m2)
"
"32","Nexus Ahmedabad One
","Ahmedabad
","2011
","885,000 sq ft (82,200 m2)
"
"33","Gaur City Mall, Greater Noida
","Greater Noida
","2019
","861,000 sq ft (80,000 m2)
"
"34","Orion Mall
","Bengaluru
","2012
","850,000 sq ft (79,000 m2)
"
"35","Infiniti Mall, Malad
","Mumbai
","2011
","850,000 sq ft (79,000 m2)
"
"36","Nexus Sujana Mall
","Hyderabad
","2014
","850,000 sq ft (79,000 m2)
"
"37","Inorbit Mall, Cyberabad
","Hyderabad
","2009
","800,000 sq ft (74,000 m2)
"
"38","MGF Metropolis Mall
","Gurgaon
","2011
","800,000 sq ft (74,000 m2)
"
"39","Acropolis Mall
","Kolkata
","2015
","800,000 sq ft (74,000 m2)
"
"40","Ansal Plaza, Greater Noida
","Greater Noida
","2009
","750,000 sq ft (70,000 m2)
"
"41","Growel's 101
","Mumbai
","2010
","750,000 sq ft (70,000 m2)
"
"42","Palladium Ahmedabad
","Ahmedabad
","2023
","750,000 sq ft (70,000 m2)
"
"43","Lulu Mall Kochi
","Kochi
","2013
","731,946 sq ft (68,000.0 m2)
"
"44","Mani Square
","Kolkata
","2008
","700,000 sq ft (65,000 m2)
"
"45","Quest Mall
","Kolkata
","2013
","700,000 sq ft (65,000 m2)
"
"46","Nexus Fiza Mall
","Mangalore
","2014
","660,000 sq ft (61,000 m2)
"
"47","The Nexus Vijaya
","Chennai
","2013
","650,000 sq ft (60,000 m2)
"
"48","Vegas Mall
","Delhi
","2019
","650,000 sq ft (60,000 m2)
"
"49","Centre Square Mall, Kochi
","Kochi
","2013
","630,000 sq ft (59,000 m2)
"
"50","VR Surat
","Surat
","2013
","615,000 sq ft (57,100 m2)
"
"51","Parsvnath Mall, Azadpur
","Delhi
","2005
","600,000 sq ft (56,000 m2)
"
"52","Select Citywalk
","Delhi
","2007
","600,000 sq ft (56,000 m2)
"
